,亀山市
8425,401
8426,299
8427,205
8428,164
8429,172
8430,196
8431,310
8432,400
8433,452
8434,462
8435,442
8436,394
8437,339
8438,298
8439,258
8440,256
8441,256
8442,294
8443,354
8444,415
8445,506
8446,573
8447,525
8448,476
8449,385
8450,306
8451,208
8452,164
8453,157
8454,192
8455,306
8456,402
8457,465
8458,453
8459,399
8460,349
8461,297
8462,278
8463,264
8464,262
8465,236
8466,236
8467,328
8468,393
8469,520
8470,561
8471,532
8472,478
8473,388
8474,292
8475,205
8476,157
8477,149
8478,189
8479,278
8480,382
8481,427
8482,429
8483,414
8484,371
8485,308
8486,303
8487,265
8488,241
8489,256
8490,267
8491,353
8492,414
8493,470
8494,594
8495,537
8496,471
8497,400
8498,287
8499,197
8500,160
8501,140
8502,166
8503,294
8504,392
8505,444
8506,442
8507,414
8508,368
8509,326
8510,282
8511,264
8512,243
8513,266
8514,283
8515,345
8516,408
8517,476
8518,561
8519,546
8520,464
8521,381
8522,272
8523,186
8524,158
8525,150
8526,169
8527,272
8528,371
8529,460
8530,440
8531,387
8532,345
8533,295
8534,283
8535,262
8536,233
8537,284
8538,281
8539,324
8540,385
8541,456
8542,518
8543,480
8544,443
8545,332
8546,268
8547,207
8548,172
8549,146
8550,163
8551,388
8552,448
8553,415
8554,504
8555,461
8556,387
8557,367
8558,338
8559,307
8560,234
8561,300
8562,290
8563,348
8564,377
8565,440
8566,514
8567,483
8568,422
8569,370
8570,265
8571,196
8572,173
8573,160
8574,153
8575,208
8576,310
8577,360
8578,400
8579,379
8580,373
8581,319
8582,302
8583,263
8584,260
8585,256
8586,276
8587,346
8588,435
8589,460
8590,519
8591,516
8592,438
8593,365
8594,269
8595,169
8596,162
8597,139
8598,159
8599,279
8600,375
8601,442
8602,445
8603,405
8604,367
8605,348
8606,276
8607,251
8608,265
8609,247
8610,265
8611,338
8612,393
8613,487
8614,549
8615,515
8616,471
8617,372
8618,275
8619,197
8620,156
8621,140
8622,187
8623,281
8624,403
8625,459
8626,484
8627,419
8628,375
8629,334
8630,279
8631,274
8632,253
8633,240
8634,273
8635,344
8636,400
8637,490
8638,558
8639,519
8640,463
8641,382
8642,258
8643,197
8644,138
8645,163
8646,164
8647,257
8648,396
8649,454
8650,446
8651,409
8652,325
8653,324
8654,298
8655,245
8656,252
8657,249
8658,269
8659,350
8660,426
8661,535
8662,539
8663,516
8664,461
8665,349
8666,263
8667,184
8668,161
8669,136
8670,144
8671,242
8672,351
8673,365
8674,433
8675,372
8676,321
8677,488
8678,458
8679,465
8680,386
8681,382
8682,403
8683,519
8684,637
8685,733
8686,753
8687,704
8688,587
8689,480
8690,388
8691,271
8692,234
8693,216
8694,222
8695,312
8696,419
8697,504
8698,479
8699,437
8700,361
8701,341
8702,308
8703,306
8704,291
8705,293
8706,291
8707,375
8708,421
8709,468
8710,531
8711,536
8712,468
8713,400
8714,316
8715,224
8716,175
8717,159
8718,170
8719,215
8720,322
8721,395
8722,431
8723,433
8724,387
8725,371
8726,333
8727,256
8728,290
8729,292
8730,270
8731,347
8732,380
8733,462
8734,553
8735,537
8736,450
8737,383
8738,280
8739,225
8740,179
8741,152
8742,160
8743,181
8744,283
8745,390
8746,409
8747,441
8748,400
8749,410
8750,378
8751,391
8752,434
8753,398
8754,378
8755,444
8756,492
8757,528
8758,570
8759,579
8760,487
8761,403
8762,318
8763,216
8764,199
8765,214
8766,381
8767,526
8768,576
8769,591
8770,568
8771,508
8772,489
8773,446
8774,385
8775,351
8776,325
8777,324
8778,371
8779,420
8780,458
8781,537
8782,622
8783,586
8784,520
8785,422
8786,337
8787,214
8788,197
8789,176
8790,194
8791,290
8792,378
8793,413
8794,423
8795,407
8796,372
8797,353
8798,322
8799,297
8800,251
8801,274
8802,285
8803,358
8804,455
8805,502
8806,562
8807,544
8808,481
8809,393
8810,285
8811,196
8812,174
8813,156
8814,190
8815,285
8816,382
8817,439
8818,424
8819,401
8820,394
8821,340
8822,303
8823,276
8824,259
8825,281
8826,301
8827,412
8828,473
8829,558
8830,585
8831,571
8832,497
8833,422
8834,367
8835,319
8836,434
8837,389
8838,415
8839,456
8840,523
8841,555
8842,560
8843,486
8844,429
8845,379
8846,357
8847,322
8848,322
8849,311
8850,333
8851,388
8852,448
8853,525
8854,598
8855,553
8856,504
8857,426
8858,347
8859,232
8860,189
8861,173
8862,211
8863,333
8864,397
8865,437
8866,436
8867,435
8868,390
8869,344
8870,295
8871,277
8872,263
8873,304
8874,349
8875,379
8876,422
8877,494
8878,539
8879,582
8880,498
8881,489
8882,403
8883,338
8884,282
8885,235
8886,266
8887,320
8888,370
8889,445
8890,484
8891,496
8892,452
8893,425
8894,375
8895,304
8896,293
8897,328
8898,348
8899,378
8900,432
8901,466
8902,522
8903,538
8904,477
8905,437
8906,307
8907,215
8908,178
8909,180
8910,192
8911,228
8912,285
8913,394
8914,458
8915,489
8916,442
8917,397
8918,372
8919,308
8920,282
8921,290
8922,306
8923,398
8924,431
8925,505
8926,546
8927,550
8928,472
8929,402
8930,268
8931,192
8932,178
8933,156
8934,193
8935,306
8936,413
8937,452
8938,472
8939,405
8940,387
8941,376
8942,340
8943,281
8944,256
8945,279
8946,321
8947,359
8948,437
8949,506
8950,568
8951,543
8952,458
8953,381
8954,282
8955,212
8956,195
8957,157
8958,238
8959,300
8960,381
8961,405
8962,402
8963,385
8964,318
8965,298
8966,306
8967,271
8968,240
8969,258
8970,272
8971,337
8972,416
8973,512
8974,579
8975,561
8976,464
8977,369
8978,284
8979,196
8980,170
8981,155
8982,195
8983,315
8984,394
8985,432
8986,425
8987,408
8988,348
8989,315
8990,308
8991,290
8992,271
8993,284
8994,294
8995,357
8996,436
8997,488
8998,587
8999,540
9000,483
9001,404
9002,298
9003,223
9004,158
9005,160
9006,184
9007,315
9008,416
9009,488
9010,522
9011,564
9012,579
9013,550
9014,539
9015,553
9016,577
9017,627
9018,640
9019,703
9020,773
9021,822
9022,882
9023,906
9024,836
9025,769
9026,628
9027,512
9028,417
9029,359
9030,363
9031,433
9032,526
9033,541
9034,528
9035,527
9036,481
9037,440
9038,379
9039,386
9040,323
9041,340
9042,366
9043,421
9044,474
9045,524
9046,567
9047,570
9048,509
9049,444
9050,356
9051,250
9052,217
9053,180
9054,224
9055,275
9056,374
9057,429
9058,467
9059,488
9060,421
9061,389
9062,382
9063,310
9064,304
9065,468
9066,475
9067,497
9068,512
9069,585
9070,700
9071,871
9072,890
9073,812
9074,742
9075,619
9076,500
9077,416
9078,362
9079,395
9080,460
9081,507
9082,548
9083,537
9084,503
9085,472
9086,448
9087,360
9088,335
9089,358
9090,379
9091,415
9092,495
9093,524
9094,568
9095,571
9096,543
9097,446
9098,406
9099,298
9100,252
9101,238
9102,220
9103,281
9104,381
9105,438
9106,476
9107,495
9108,475
9109,426
9110,375
9111,336
9112,334
9113,312
9114,353
9115,441
9116,480
9117,526
9118,589
9119,611
9120,570
9121,457
9122,360
9123,279
9124,224
9125,197
9126,251
9127,324
9128,400
9129,439
9130,435
9131,429
9132,395
9133,398
9134,335
9135,303
9136,290
9137,283
9138,333
9139,406
9140,470
9141,518
9142,583
9143,561
9144,543
9145,513
9146,404
9147,288
9148,234
9149,226
9150,255
9151,340
9152,447
9153,504
9154,493
9155,484
9156,442
9157,388
9158,356
9159,338
9160,319
9161,294
9162,328
9163,396
9164,446
9165,553
9166,600
9167,581
9168,531
9169,429
9170,326
9171,226
9172,184
9173,170
9174,201
9175,298
9176,391
9177,416
9178,437
9179,458
9180,403
9181,340
9182,299
9183,287
9184,282
9185,840
9186,902
9187,1071
9188,1024
9189,892
9190,981
9191,1075
9192,920
9193,779
9194,713
9195,664
9196,651
9197,588
9198,549
9199,611
9200,691
9201,688
9202,662
9203,577
9204,508
9205,480
9206,453
9207,398
9208,411
9209,383
9210,389
9211,455
9212,513
9213,560
9214,628
9215,627
9216,532
9217,466
9218,405
9219,295
9220,250
9221,223
9222,219
9223,281
9224,368
9225,444
9226,498
9227,522
9228,460
9229,426
9230,408
9231,337
9232,323
9233,339
9234,364
9235,398
9236,436
9237,493
9238,543
9239,539
9240,474
9241,415
9242,355
9243,252
9244,219
9245,202
9246,210
9247,271
9248,314
9249,386
9250,439
9251,481
9252,418
9253,428
9254,415
9255,335
9256,296
9257,343
9258,332
9259,408
9260,462
9261,530
9262,564
9263,558
9264,484
9265,395
9266,300
9267,210
9268,192
9269,167
9270,191
9271,316
9272,380
9273,416
9274,434
9275,423
9276,380
9277,364
9278,350
9279,312
9280,390
9281,567
9282,561
9283,649
9284,731
9285,1151
9286,1160
9287,981
9288,822
9289,611
9290,494
9291,393
9292,320
9293,279
9294,321
9295,385
9296,496
9297,560
9298,569
9299,550
9300,477
9301,438
9302,693
9303,659
9304,497
9305,474
9306,446
9307,509
9308,585
9309,630
9310,661
9311,621
9312,546
9313,479
9314,395
9315,290
9316,237
9317,227
9318,241
9319,371
9320,488
9321,553
9322,551
9323,523
9324,436
9325,416
9326,405
9327,341
9328,298
9329,316
9330,357
9331,421
9332,473
9333,546
9334,592
9335,586
9336,538
9337,439
9338,351
9339,253
9340,200
9341,173
9342,197
9343,343
9344,419
9345,464
9346,476
9347,455
9348,411
9349,359
9350,330
9351,301
9352,298
9353,324
9354,317
9355,372
9356,445
9357,524
9358,562
9359,557
9360,511
9361,400
9362,328
9363,241
9364,175
9365,170
9366,210
9367,331
9368,425
9369,466
9370,467
9371,448
9372,380
9373,353
9374,348
9375,298
9376,263
9377,269
9378,322
9379,370
9380,573
9381,702
9382,726
9383,638
9384,578
9385,472
9386,376
9387,292
9388,240
9389,242
9390,297
9391,396
9392,421
9393,538
9394,585
9395,631
9396,624
9397,650
9398,651
9399,632
9400,647
9401,646
9402,633
9403,607
9404,633
9405,645
9406,698
9407,643
9408,553
9409,476
9410,412
9411,292
9412,269
9413,234
9414,228
9415,280
9416,400
9417,495
9418,569
9419,555
9420,507
9421,466
9422,426
9423,403
9424,363
9425,340
9426,363
9427,433
9428,474
9429,522
9430,578
9431,562
9432,505
9433,425
9434,333
9435,240
9436,209
9437,175
9438,200
9439,321
9440,434
9441,494
9442,480
9443,498
9444,403
9445,446
9446,366
9447,297
9448,261
9449,356
9450,333
9451,400
9452,449
9453,526
9454,598
9455,617
9456,503
9457,402
9458,305
9459,209
9460,185
9461,161
9462,188
9463,287
9464,420
9465,441
9466,502
9467,466
9468,428
9469,370
9470,335
9471,286
9472,275
9473,325
9474,306
9475,371
9476,447
9477,501
9478,563
9479,574
9480,491
9481,436
9482,340
9483,213
9484,159
9485,173
9486,205
9487,332
9488,443
9489,509
9490,494
9491,424
9492,415
9493,365
9494,344
9495,293
9496,255
9497,299
9498,331
9499,386
9500,450
9501,556
9502,578
9503,546
9504,495
9505,394
9506,323
9507,210
9508,179
9509,156
9510,199
9511,344
9512,409
9513,466
9514,527
9515,451
9516,394
9517,364
9518,350
9519,292
9520,269
9521,279
9522,298
9523,362
9524,449
9525,519
9526,587
9527,556
9528,479
9529,395
9530,280
9531,215
9532,188
9533,148
9534,210
9535,309
9536,419
9537,458
9538,504
9539,460
9540,407
9541,373
9542,351
9543,289
9544,271
9545,250
9546,336
9547,355
9548,423
9549,474
9550,556
9551,534
9552,459
9553,402
9554,296
9555,223
9556,191
9557,159
9558,170
9559,240
9560,390
9561,444
9562,526
9563,499
9564,454
9565,408
9566,375
9567,316
9568,311
9569,296
9570,296
9571,344
9572,418
9573,428
9574,471
9575,488
9576,462
9577,404
9578,346
9579,228
9580,180
9581,151
9582,150
9583,227
9584,359
9585,415
9586,482
9587,488
9588,433
9589,403
9590,377
9591,330
9592,281
9593,282
9594,299
9595,341
9596,421
9597,472
9598,546
9599,529
9600,476
9601,396
9602,285
9603,198
9604,169
9605,149
9606,173
9607,310
9608,409
9609,417
9610,471
9611,398
9612,385
9613,336
9614,287
9615,272
9616,244
9617,254
9618,365
9619,418
9620,415
9621,504
9622,597
9623,562
9624,488
9625,388
9626,301
9627,194
9628,168
9629,148
9630,212
9631,299
9632,383
9633,439
9634,453
9635,416
9636,359
9637,330
9638,322
9639,281
9640,266
9641,286
9642,300
9643,357
9644,426
9645,520
9646,577
9647,550
9648,475
9649,398
9650,327
9651,196
9652,166
9653,133
9654,181
9655,298
9656,391
9657,444
9658,510
9659,441
9660,367
9661,350
9662,344
9663,272
9664,266
9665,266
9666,299
9667,376
9668,428
9669,502
9670,562
9671,562
9672,480
9673,394
9674,293
9675,197
9676,176
9677,150
9678,185
9679,284
9680,376
9681,410
9682,458
9683,446
9684,383
9685,361
9686,322
9687,290
9688,251
9689,259
9690,291
9691,382
9692,448
9693,489
9694,560
9695,528
9696,478
9697,405
9698,313
9699,195
9700,175
9701,150
9702,171
9703,275
9704,398
9705,434
9706,472
9707,463
9708,393
9709,371
9710,326
9711,267
9712,254
9713,276
9714,286
9715,356
9716,418
9717,454
9718,519
9719,549
9720,463
9721,390
9722,315
9723,203
9724,170
9725,156
9726,169
9727,242
9728,361
9729,442
9730,492
9731,503
9732,423
9733,395
9734,357
9735,308
9736,284
9737,293
9738,302
9739,357
9740,399
9741,427
9742,512
9743,492
9744,428
9745,385
9746,277
9747,210
9748,171
9749,162
9750,170
9751,210
9752,334
9753,412
9754,462
9755,454
9756,436
9757,385
9758,362
9759,321
9760,289
9761,288
9762,308
9763,343
9764,385
9765,448
9766,503
9767,472
9768,443
9769,379
9770,292
9771,235
9772,167
9773,140
9774,168
9775,212
9776,324
9777,408
9778,448
9779,463
9780,402
9781,379
9782,343
9783,278
9784,303
9785,288
9786,322
9787,359
9788,396
9789,455
9790,518
9791,514
9792,444
9793,360
9794,295
9795,195
9796,153
9797,145
9798,161
9799,210
9800,304
9801,400
9802,424
9803,445
9804,394
9805,355
9806,311
9807,278
9808,272
9809,273
9810,288
9811,335
9812,376
9813,431
9814,490
9815,506
9816,437
9817,354
9818,287
9819,206
9820,151
9821,146
9822,178
9823,267
9824,303
9825,374
9826,411
9827,415
9828,398
9829,384
9830,343
9831,357
9832,354
9833,313
9834,323
9835,368
9836,410
9837,444
9838,516
9839,507
9840,455
9841,399
9842,268
9843,207
9844,186
9845,171
9846,162
9847,188
9848,266
9849,328
9850,380
9851,502
9852,486
9853,440
9854,400
9855,380
9856,410
9857,424
9858,415
9859,464
9860,500
9861,539
9862,641
9863,643
9864,673
9865,597
9866,559
9867,553
9868,459
9869,422
9870,378
9871,412
9872,451
9873,487
9874,532
9875,562
9876,486
9877,453
9878,416
9879,380
9880,343
9881,321
9882,360
9883,377
9884,431
9885,514
9886,518
9887,522
9888,460
9889,393
9890,326
9891,260
9892,184
9893,160
9894,183
9895,231
9896,342
9897,419
9898,485
9899,533
9900,444
9901,410
9902,385
9903,308
9904,321
9905,292
9906,326
9907,368
9908,381
9909,437
9910,510
9911,493
9912,439
9913,412
9914,338
9915,232
9916,190
9917,152
9918,152
9919,223
9920,316
9921,407
9922,476
9923,496
9924,424
9925,420
9926,380
9927,308
9928,313
9929,277
9930,314
9931,365
9932,427
9933,497
9934,552
9935,517
9936,477
9937,397
9938,254
9939,178
9940,164
9941,141
9942,168
9943,276
9944,355
9945,453
9946,429
9947,412
9948,376
9949,350
9950,315
9951,279
9952,271
9953,256
9954,298
9955,430
9956,524
9957,554
9958,588
9959,540
9960,466
9961,384
9962,296
9963,212
9964,162
9965,151
9966,173
9967,273
9968,367
9969,414
9970,431
9971,406
9972,365
9973,336
9974,301
9975,254
9976,229
9977,253
9978,297
9979,371
9980,432
9981,503
9982,561
9983,526
9984,503
9985,410
9986,297
9987,199
9988,170
9989,155
9990,187
9991,313
9992,402
9993,440
9994,452
9995,442
9996,396
9997,344
9998,298
9999,260
10000,268
10001,274
10002,308
10003,362
10004,451
10005,495
10006,569
10007,545
10008,457
10009,390
10010,285
10011,190
10012,162
10013,145
10014,201
10015,273
10016,389
10017,417
10018,463
10019,429
10020,379
10021,317
10022,319
10023,266
10024,241
10025,270
10026,307
10027,367
10028,413
10029,480
10030,565
10031,571
10032,466
10033,395
10034,278
10035,209
10036,154
10037,179
10038,239
10039,312
10040,376
10041,414
10042,438
10043,469
10044,746
10045,632
10046,530
10047,440
10048,394
10049,370
10050,421
10051,461
10052,526
10053,557
10054,581
10055,542
10056,508
10057,441
10058,356
10059,243
10060,230
10061,188
10062,197
10063,259
10064,370
10065,438
10066,476
10067,512
10068,440
10069,397
10070,399
10071,335
10072,293
10073,288
10074,324
10075,352
10076,405
10077,460
10078,536
10079,509
10080,444
10081,386
10082,299
10083,222
10084,189
10085,157
10086,158
10087,203
10088,307
10089,413
10090,443
10091,492
10092,413
10093,413
10094,354
10095,276
10096,294
10097,280
10098,294
10099,364
10100,439
10101,465
10102,541
10103,553
10104,447
10105,385
10106,286
10107,199
10108,163
10109,145
10110,170
10111,266
