,四日市市
7948,68
7949,57
7950,59
7951,127
7952,290
7953,281
7954,222
7955,198
7956,142
7957,140
7958,120
7959,136
7960,134
7961,113
7962,140
7963,167
7964,237
7965,303
7966,336
7967,326
7968,271
7969,209
7970,151
7971,108
7972,89
7973,67
7974,76
7975,195
7976,318
7977,318
7978,239
7979,186
7980,148
7981,142
7982,128
7983,130
7984,130
7985,111
7986,123
7987,153
7988,206
7989,259
7990,309
7991,317
7992,259
7993,201
7994,145
7995,109
7996,71
7997,72
7998,69
7999,157
8000,326
8001,323
8002,242
8003,209
8004,162
8005,139
8006,122
8007,131
8008,129
8009,102
8010,113
8011,149
8012,193
8013,256
8014,297
8015,301
8016,255
8017,209
8018,139
8019,99
8020,83
8021,63
8022,58
8023,154
8024,298
8025,285
8026,212
8027,184
8028,134
8029,122
8030,124
8031,126
8032,115
8033,94
8034,104
8035,139
8036,187
8037,230
8038,274
8039,288
8040,250
8041,194
8042,162
8043,109
8044,82
8045,66
8046,70
8047,147
8048,243
8049,301
8050,259
8051,245
8052,186
8053,152
8054,140
8055,147
8056,130
8057,110
8058,119
8059,143
8060,187
8061,219
8062,252
8063,267
8064,232
8065,185
8066,145
8067,104
8068,93
8069,66
8070,55
8071,94
8072,180
8073,259
8074,254
8075,210
8076,174
8077,149
8078,137
8079,136
8080,121
8081,96
8082,111
8083,153
8084,197
8085,242
8086,276
8087,293
8088,252
8089,183
8090,139
8091,89
8092,75
8093,65
8094,50
8095,140
8096,292
8097,286
8098,241
8099,180
8100,173
8101,127
8102,135
8103,115
8104,105
8105,109
8106,133
8107,159
8108,208
8109,258
8110,321
8111,310
8112,259
8113,205
8114,142
8115,102
8116,76
8117,76
8118,62
8119,169
8120,333
8121,315
8122,234
8123,196
8124,160
8125,137
8126,136
8127,114
8128,120
8129,112
8130,122
8131,167
8132,210
8133,259
8134,305
8135,308
8136,268
8137,196
8138,138
8139,93
8140,70
8141,57
8142,84
8143,145
8144,283
8145,301
8146,237
8147,174
8148,148
8149,134
8150,121
8151,134
8152,136
8153,106
8154,121
8155,149
8156,199
8157,255
8158,303
8159,309
8160,259
8161,192
8162,151
8163,96
8164,71
8165,56
8166,74
8167,176
8168,325
8169,343
8170,249
8171,208
8172,184
8173,147
8174,128
8175,138
8176,118
8177,108
8178,125
8179,161
8180,206
8181,247
8182,289
8183,308
8184,258
8185,195
8186,133
8187,98
8188,69
8189,63
8190,70
8191,127
8192,275
8193,280
8194,233
8195,212
8196,237
8197,203
8198,185
8199,230
8200,195
8201,166
8202,158
8203,192
8204,239
8205,248
8206,275
8207,293
8208,265
8209,227
8210,170
8211,119
8212,99
8213,94
8214,79
8215,152
8216,259
8217,301
8218,284
8219,248
8220,180
8221,153
8222,142
8223,138
8224,139
8225,116
8226,122
8227,158
8228,184
8229,206
8230,262
8231,266
8232,242
8233,198
8234,154
8235,130
8236,81
8237,63
8238,55
8239,101
8240,169
8241,238
8242,262
8243,219
8244,177
8245,152
8246,136
8247,133
8248,120
8249,105
8250,117
8251,168
8252,236
8253,265
8254,292
8255,304
8256,250
8257,190
8258,143
8259,93
8260,75
8261,74
8262,66
8263,129
8264,309
8265,286
8266,229
8267,207
8268,176
8269,174
8270,157
8271,173
8272,139
8273,121
8274,146
8275,173
8276,225
8277,304
8278,329
8279,324
8280,277
8281,211
8282,151
8283,106
8284,80
8285,83
8286,75
8287,184
8288,333
8289,325
8290,236
8291,207
8292,158
8293,139
8294,125
8295,125
8296,131
8297,108
8298,115
8299,226
8300,428
8301,432
8302,380
8303,354
8304,288
8305,213
8306,157
8307,118
8308,82
8309,75
8310,94
8311,223
8312,314
8313,300
8314,237
8315,185
8316,166
8317,151
8318,137
8319,144
8320,128
8321,123
8322,129
8323,163
8324,213
8325,280
8326,323
8327,330
8328,273
8329,205
8330,140
8331,103
8332,104
8333,65
8334,67
8335,197
8336,335
8337,334
8338,266
8339,214
8340,178
8341,141
8342,136
8343,145
8344,117
8345,126
8346,120
8347,157
8348,213
8349,257
8350,299
8351,308
8352,273
8353,199
8354,153
8355,112
8356,77
8357,59
8358,62
8359,176
8360,296
8361,299
8362,247
8363,163
8364,142
8365,118
8366,126
8367,139
8368,100
8369,142
8370,138
8371,178
8372,206
8373,225
8374,276
8375,282
8376,248
8377,213
8378,162
8379,122
8380,105
8381,122
8382,107
8383,148
8384,228
8385,278
8386,284
8387,238
8388,186
8389,164
8390,159
8391,142
8392,154
8393,136
8394,164
8395,198
8396,231
8397,307
8398,326
8399,309
8400,287
8401,242
8402,185
8403,135
8404,112
8405,91
8406,113
8407,133
8408,212
8409,286
8410,283
8411,248
8412,235
8413,185
8414,157
8415,146
8416,129
8417,122
8418,132
8419,167
8420,221
8421,265
8422,298
8423,314
8424,267
8425,204
8426,148
8427,105
8428,77
8429,75
8430,91
8431,198
8432,338
8433,325
8434,258
8435,193
8436,190
8437,151
8438,151
8439,143
8440,124
8441,138
8442,163
8443,174
8444,222
8445,272
8446,318
8447,310
8448,293
8449,221
8450,147
8451,103
8452,85
8453,65
8454,91
8455,217
8456,310
8457,320
8458,282
8459,203
8460,168
8461,154
8462,158
8463,141
8464,116
8465,121
8466,119
8467,161
8468,213
8469,282
8470,309
8471,311
8472,275
8473,195
8474,143
8475,104
8476,76
8477,62
8478,83
8479,181
8480,295
8481,307
8482,247
8483,190
8484,176
8485,145
8486,136
8487,149
8488,113
8489,123
8490,134
8491,154
8492,207
8493,269
8494,302
8495,300
8496,259
8497,193
8498,147
8499,103
8500,90
8501,68
8502,69
8503,194
8504,317
8505,315
8506,263
8507,216
8508,182
8509,146
8510,136
8511,149
8512,133
8513,108
8514,119
8515,155
8516,216
8517,266
8518,296
8519,299
8520,257
8521,201
8522,143
8523,117
8524,74
8525,64
8526,66
8527,171
8528,287
8529,308
8530,261
8531,186
8532,164
8533,142
8534,140
8535,134
8536,124
8537,108
8538,114
8539,159
8540,215
8541,242
8542,278
8543,272
8544,236
8545,202
8546,148
8547,116
8548,82
8549,82
8550,84
8551,112
8552,215
8553,275
8554,270
8555,239
8556,206
8557,172
8558,151
8559,130
8560,129
8561,128
8562,131
8563,157
8564,184
8565,212
8566,259
8567,270
8568,238
8569,200
8570,150
8571,112
8572,86
8573,79
8574,65
8575,90
8576,179
8577,262
8578,261
8579,225
8580,198
8581,168
8582,143
8583,134
8584,119
8585,112
8586,123
8587,164
8588,203
8589,251
8590,289
8591,285
8592,247
8593,206
8594,152
8595,102
8596,81
8597,58
8598,66
8599,163
8600,278
8601,308
8602,248
8603,198
8604,153
8605,148
8606,126
8607,145
8608,128
8609,101
8610,119
8611,169
8612,218
8613,248
8614,302
8615,301
8616,255
8617,210
8618,157
8619,98
8620,72
8621,59
8622,70
8623,191
8624,324
8625,330
8626,265
8627,216
8628,171
8629,131
8630,133
8631,146
8632,110
8633,116
8634,110
8635,147
8636,212
8637,265
8638,301
8639,298
8640,258
8641,197
8642,162
8643,104
8644,80
8645,57
8646,58
8647,159
8648,299
8649,307
8650,241
8651,177
8652,168
8653,140
8654,129
8655,128
8656,105
8657,113
8658,116
8659,142
8660,204
8661,257
8662,309
8663,291
8664,253
8665,189
8666,164
8667,99
8668,72
8669,54
8670,54
8671,148
8672,273
8673,280
8674,216
8675,178
8676,148
8677,136
8678,141
8679,191
8680,157
8681,143
8682,149
8683,195
8684,256
8685,334
8686,346
8687,335
8688,289
8689,225
8690,158
8691,135
8692,100
8693,87
8694,98
8695,210
8696,315
8697,306
8698,262
8699,193
8700,176
8701,143
8702,160
8703,141
8704,123
8705,131
8706,141
8707,174
8708,210
8709,234
8710,278
8711,286
8712,265
8713,206
8714,156
8715,121
8716,94
8717,83
8718,70
8719,116
8720,221
8721,286
8722,289
8723,238
8724,200
8725,169
8726,163
8727,145
8728,117
8729,111
8730,132
8731,159
8732,195
8733,255
8734,257
8735,276
8736,239
8737,199
8738,149
8739,115
8740,94
8741,71
8742,87
8743,95
8744,166
8745,257
8746,282
8747,241
8748,196
8749,168
8750,152
8751,157
8752,166
8753,152
8754,167
8755,181
8756,228
8757,289
8758,310
8759,297
8760,264
8761,223
8762,147
8763,104
8764,77
8765,73
8766,106
8767,250
8768,341
8769,340
8770,259
8771,209
8772,195
8773,163
8774,156
8775,158
8776,161
8777,124
8778,150
8779,189
8780,250
8781,315
8782,347
8783,321
8784,269
8785,208
8786,152
8787,111
8788,74
8789,73
8790,91
8791,157
8792,296
8793,314
8794,251
8795,209
8796,202
8797,158
8798,159
8799,151
8800,155
8801,153
8802,176
8803,224
8804,278
8805,348
8806,381
8807,364
8808,298
8809,219
8810,150
8811,117
8812,89
8813,83
8814,113
8815,250
8816,368
8817,318
8818,256
8819,202
8820,172
8821,164
8822,140
8823,152
8824,145
8825,166
8826,182
8827,225
8828,304
8829,346
8830,357
8831,344
8832,294
8833,221
8834,165
8835,126
8836,151
8837,147
8838,219
8839,310
8840,399
8841,382
8842,282
8843,245
8844,205
8845,184
8846,183
8847,186
8848,167
8849,149
8850,206
8851,226
8852,304
8853,359
8854,379
8855,357
8856,311
8857,227
8858,161
8859,114
8860,100
8861,92
8862,127
8863,265
8864,378
8865,340
8866,288
8867,199
8868,165
8869,163
8870,148
8871,154
8872,151
8873,140
8874,173
8875,221
8876,263
8877,319
8878,331
8879,325
8880,281
8881,232
8882,183
8883,142
8884,129
8885,96
8886,122
8887,198
8888,272
8889,339
8890,317
8891,257
8892,231
8893,206
8894,184
8895,164
8896,154
8897,175
8898,185
8899,227
8900,254
8901,298
8902,331
8903,318
8904,278
8905,235
8906,178
8907,128
8908,101
8909,88
8910,106
8911,159
8912,249
8913,332
8914,327
8915,292
8916,244
8917,208
8918,183
8919,161
8920,156
8921,169
8922,180
8923,235
8924,279
8925,333
8926,346
8927,338
8928,283
8929,204
8930,167
8931,114
8932,88
8933,78
8934,122
8935,262
8936,362
8937,350
8938,306
8939,225
8940,182
8941,173
8942,181
8943,152
8944,156
8945,145
8946,162
8947,214
8948,294
8949,352
8950,372
8951,346
8952,280
8953,219
8954,148
8955,109
8956,78
8957,78
8958,141
8959,217
8960,320
8961,324
8962,261
8963,193
8964,164
8965,176
8966,134
8967,142
8968,138
8969,141
8970,169
8971,220
8972,269
8973,325
8974,373
8975,351
8976,292
8977,217
8978,156
8979,106
8980,81
8981,80
8982,116
8983,222
8984,347
8985,342
8986,274
8987,198
8988,180
8989,156
8990,140
8991,148
8992,147
8993,145
8994,162
8995,214
8996,278
8997,345
8998,359
8999,351
9000,277
9001,206
9002,151
9003,111
9004,87
9005,92
9006,98
9007,209
9008,318
9009,313
9010,280
9011,213
9012,195
9013,213
9014,179
9015,155
9016,157
9017,157
9018,200
9019,256
9020,310
9021,381
9022,402
9023,405
9024,371
9025,291
9026,231
9027,183
9028,162
9029,151
9030,191
9031,369
9032,411
9033,385
9034,309
9035,225
9036,217
9037,200
9038,175
9039,187
9040,170
9041,186
9042,207
9043,239
9044,287
9045,317
9046,354
9047,348
9048,303
9049,231
9050,170
9051,133
9052,101
9053,107
9054,119
9055,200
9056,305
9057,342
9058,343
9059,267
9060,208
9061,194
9062,183
9063,149
9064,143
9065,143
9066,179
9067,244
9068,252
9069,286
9070,330
9071,360
9072,352
9073,331
9074,277
9075,223
9076,213
9077,166
9078,179
9079,237
9080,288
9081,358
9082,340
9083,311
9084,260
9085,233
9086,212
9087,187
9088,172
9089,172
9090,200
9091,264
9092,274
9093,308
9094,340
9095,345
9096,315
9097,235
9098,173
9099,137
9100,120
9101,119
9102,138
9103,185
9104,271
9105,335
9106,317
9107,264
9108,234
9109,204
9110,190
9111,172
9112,162
9113,162
9114,186
9115,238
9116,289
9117,335
9118,361
9119,357
9120,299
9121,235
9122,172
9123,140
9124,120
9125,103
9126,142
9127,248
9128,360
9129,363
9130,263
9131,212
9132,199
9133,170
9134,165
9135,159
9136,165
9137,152
9138,182
9139,224
9140,298
9141,359
9142,384
9143,350
9144,311
9145,300
9146,229
9147,172
9148,141
9149,134
9150,189
9151,331
9152,408
9153,402
9154,316
9155,253
9156,208
9157,208
9158,179
9159,175
9160,191
9161,168
9162,195
9163,251
9164,307
9165,376
9166,385
9167,362
9168,301
9169,217
9170,164
9171,138
9172,98
9173,87
9174,125
9175,253
9176,346
9177,343
9178,268
9179,228
9180,179
9181,188
9182,157
9183,167
9184,161
9185,180
9186,545
9187,828
9188,645
9189,625
9190,642
9191,629
9192,549
9193,398
9194,317
9195,289
9196,319
9197,331
9198,464
9199,568
9200,610
9201,499
9202,393
9203,309
9204,267
9205,252
9206,238
9207,217
9208,217
9209,213
9210,246
9211,286
9212,358
9213,371
9214,372
9215,382
9216,319
9217,250
9218,198
9219,171
9220,126
9221,122
9222,162
9223,213
9224,322
9225,351
9226,353
9227,282
9228,244
9229,247
9230,206
9231,179
9232,175
9233,189
9234,196
9235,240
9236,268
9237,324
9238,333
9239,316
9240,270
9241,228
9242,197
9243,144
9244,118
9245,97
9246,114
9247,177
9248,238
9249,312
9250,324
9251,283
9252,240
9253,208
9254,189
9255,161
9256,159
9257,166
9258,202
9259,241
9260,279
9261,331
9262,357
9263,345
9264,286
9265,222
9266,153
9267,122
9268,92
9269,90
9270,133
9271,207
9272,334
9273,337
9274,260
9275,228
9276,189
9277,174
9278,155
9279,158
9280,164
9281,213
9282,285
9283,305
9284,338
9285,398
9286,420
9287,376
9288,310
9289,263
9290,194
9291,139
9292,123
9293,120
9294,173
9295,276
9296,392
9297,370
9298,319
9299,243
9300,219
9301,215
9302,184
9303,156
9304,153
9305,174
9306,197
9307,244
9308,301
9309,333
9310,392
9311,358
9312,290
9313,233
9314,164
9315,120
9316,102
9317,102
9318,144
9319,257
9320,377
9321,373
9322,334
9323,238
9324,195
9325,182
9326,176
9327,155
9328,154
9329,148
9330,186
9331,255
9332,276
9333,340
9334,363
9335,337
9336,289
9337,228
9338,164
9339,115
9340,95
9341,85
9342,114
9343,247
9344,375
9345,364
9346,285
9347,231
9348,186
9349,188
9350,175
9351,145
9352,150
9353,156
9354,168
9355,215
9356,286
9357,317
9358,348
9359,343
9360,284
9361,229
9362,158
9363,114
9364,89
9365,83
9366,147
9367,226
9368,380
9369,370
9370,270
9371,230
9372,181
9373,160
9374,151
9375,163
9376,145
9377,141
9378,168
9379,205
9380,276
9381,347
9382,344
9383,335
9384,284
9385,226
9386,179
9387,149
9388,107
9389,98
9390,125
9391,188
9392,263
9393,326
9394,277
9395,250
9396,248
9397,215
9398,233
9399,202
9400,220
9401,264
9402,286
9403,334
9404,346
9405,356
9406,362
9407,359
9408,311
9409,269
9410,195
9411,146
9412,116
9413,135
9414,135
9415,195
9416,309
9417,393
9418,365
9419,312
9420,258
9421,249
9422,208
9423,193
9424,176
9425,173
9426,210
9427,240
9428,271
9429,324
9430,359
9431,364
9432,298
9433,228
9434,167
9435,126
9436,95
9437,114
9438,135
9439,241
9440,359
9441,364
9442,305
9443,254
9444,189
9445,194
9446,174
9447,157
9448,154
9449,142
9450,183
9451,239
9452,296
9453,350
9454,381
9455,339
9456,301
9457,219
9458,164
9459,116
9460,90
9461,90
9462,152
9463,233
9464,358
9465,352
9466,291
9467,240
9468,199
9469,170
9470,145
9471,154
9472,162
9473,147
9474,178
9475,216
9476,297
9477,335
9478,364
9479,354
9480,270
9481,208
9482,155
9483,115
9484,86
9485,81
9486,133
9487,234
9488,362
9489,369
9490,295
9491,220
9492,198
9493,185
9494,153
9495,153
9496,148
9497,138
9498,170
9499,230
9500,280
9501,341
9502,362
9503,332
9504,282
9505,211
9506,153
9507,114
9508,85
9509,105
9510,125
9511,240
9512,364
9513,357
9514,301
9515,233
9516,176
9517,192
9518,152
9519,141
9520,140
9521,127
9522,173
9523,221
9524,287
9525,329
9526,357
9527,328
9528,275
9529,223
9530,159
9531,109
9532,90
9533,77
9534,124
9535,229
9536,352
9537,365
9538,270
9539,222
9540,183
9541,174
9542,141
9543,142
9544,134
9545,132
9546,186
9547,209
9548,264
9549,290
9550,331
9551,314
9552,265
9553,216
9554,170
9555,116
9556,96
9557,79
9558,117
9559,212
9560,294
9561,364
9562,345
9563,266
9564,227
9565,200
9566,180
9567,164
9568,143
9569,150
9570,177
9571,231
9572,250
9573,253
9574,277
9575,313
9576,272
9577,224
9578,162
9579,125
9580,93
9581,94
9582,96
9583,161
9584,243
9585,326
9586,318
9587,298
9588,231
9589,203
9590,174
9591,155
9592,144
9593,149
9594,160
9595,192
9596,232
9597,300
9598,345
9599,324
9600,282
9601,221
9602,162
9603,107
9604,86
9605,78
9606,129
9607,218
9608,345
9609,359
9610,264
9611,204
9612,203
9613,162
9614,146
9615,139
9616,126
9617,131
9618,165
9619,217
9620,269
9621,317
9622,358
9623,340
9624,272
9625,203
9626,155
9627,104
9628,102
9629,77
9630,107
9631,236
9632,341
9633,335
9634,265
9635,198
9636,184
9637,151
9638,149
9639,144
9640,126
9641,137
9642,159
9643,208
9644,283
9645,323
9646,365
9647,344
9648,275
9649,209
9650,150
9651,104
9652,86
9653,69
9654,119
9655,239
9656,334
9657,344
9658,260
9659,210
9660,187
9661,153
9662,147
9663,153
9664,132
9665,134
9666,162
9667,202
9668,278
9669,313
9670,362
9671,348
9672,266
9673,216
9674,149
9675,105
9676,82
9677,73
9678,128
9679,208
9680,327
9681,345
9682,260
9683,213
9684,188
9685,108
9686,-1
9687,0
9688,-4
9689,-3
9690,1
9691,1
9692,-6
9693,-8
9694,-9
9695,-6
9696,-10
9697,-8
9698,-6
9699,-3
9700,-3
9701,5
9702,8
9703,9
9704,7
9705,6
9706,-1
9707,-5
9708,-2
9709,1
9710,-2
9711,5385
9712,131
9713,137
9714,169
9715,200
9716,269
9717,288
9718,312
9719,310
9720,272
9721,220
9722,159
9723,134
9724,95
9725,94
9726,124
9727,171
9728,284
9729,366
9730,319
9731,275
9732,230
9733,203
9734,165
9735,145
9736,138
9737,158
9738,190
9739,205
9740,240
9741,257
9742,294
9743,304
9744,259
9745,213
9746,172
9747,135
9748,91
9749,79
9750,94
9751,164
9752,256
9753,317
9754,308
9755,266
9756,219
9757,187
9758,161
9759,157
9760,152
9761,144
9762,161
9763,196
9764,228
9765,270
9766,300
9767,294
9768,265
9769,209
9770,168
9771,129
9772,91
9773,74
9774,112
9775,174
9776,267
9777,343
9778,306
9779,259
9780,235
9781,187
9782,183
9783,151
9784,139
9785,154
9786,165
9787,199
9788,260
9789,271
9790,309
9791,300
9792,262
9793,207
9794,154
9795,115
9796,102
9797,84
9798,108
9799,173
9800,273
9801,331
9802,297
9803,245
9804,219
9805,174
9806,160
9807,153
9808,134
9809,145
9810,172
9811,187
9812,248
9813,271
9814,335
9815,315
9816,255
9817,203
9818,173
9819,112
9820,84
9821,72
9822,110
9823,194
9824,258
9825,290
9826,275
9827,267
9828,209
9829,181
9830,163
9831,153
9832,166
9833,152
9834,160
9835,206
9836,271
9837,289
9838,314
9839,295
9840,250
9841,208
9842,147
9843,117
9844,100
9845,74
9846,104
9847,142
9848,211
9849,260
9850,244
9851,213
9852,204
9853,184
9854,169
9855,155
9856,158
9857,154
9858,193
9859,352
9860,414
9861,394
9862,341
9863,335
9864,321
9865,329
9866,335
9867,267
9868,248
9869,231
9870,260
9871,368
9872,402
9873,409
9874,343
9875,300
9876,269
9877,225
9878,198
9879,178
9880,168
9881,167
9882,201
9883,251
9884,280
9885,307
9886,321
9887,310
9888,284
9889,234
9890,170
9891,128
9892,119
9893,88
9894,127
9895,215
9896,295
9897,364
9898,364
9899,282
9900,234
9901,193
9902,191
9903,163
9904,159
9905,150
9906,171
9907,227
9908,270
9909,289
9910,304
9911,308
9912,269
9913,219
9914,171
9915,116
9916,100
9917,91
9918,99
9919,152
9920,248
9921,339
9922,340
9923,280
9924,234
9925,207
9926,180
9927,160
9928,152
9929,146
9930,171
9931,216
9932,277
9933,324
9934,343
9935,324
9936,265
9937,202
9938,151
9939,101
9940,80
9941,84
9942,128
9943,198
9944,331
9945,319
9946,253
9947,210
9948,192
9949,167
9950,141
9951,139
9952,137
9953,141
9954,162
9955,221
9956,288
9957,336
9958,364
9959,325
9960,277
9961,215
9962,143
9963,104
9964,91
9965,76
9966,109
9967,215
9968,322
9969,318
9970,271
9971,201
9972,159
9973,160
9974,194
9975,151
9976,144
9977,144
9978,154
9979,230
9980,289
9981,326
9982,365
9983,336
9984,267
9985,218
9986,156
9987,115
9988,87
9989,99
9990,102
9991,204
9992,351
9993,355
9994,278
9995,208
9996,198
9997,257
9998,191
9999,180
10000,145
10001,143
10002,169
10003,244
10004,298
10005,333
10006,348
10007,327
10008,278
10009,206
10010,157
10011,110
10012,109
10013,83
10014,115
10015,224
10016,348
10017,345
10018,268
10019,229
10020,177
10021,151
10022,146
10023,155
10024,141
10025,141
10026,148
10027,226
10028,283
10029,313
10030,355
10031,340
10032,272
10033,212
10034,153
10035,108
10036,83
10037,80
10038,140
10039,186
10040,309
10041,320
10042,243
10043,179
10044,228
10045,224
10046,241
10047,208
10048,172
10049,171
10050,194
10051,226
10052,277
10053,325
10054,344
10055,320
10056,271
10057,232
10058,176
10059,129
10060,102
10061,107
10062,116
10063,184
10064,299
10065,353
10066,328
10067,300
10068,246
10069,195
10070,174
10071,186
10072,152
10073,152
10074,177
10075,216
10076,257
10077,287
10078,308
10079,301
10080,256
10081,205
10082,170
10083,130
10084,91
10085,82
10086,110
10087,143
10088,240
10089,331
10090,324
10091,280
10092,232
10093,204
10094,196
10095,154
10096,141
10097,146
10098,168
10099,213
10100,237
10101,277
10102,312
10103,319
10104,281
10105,214
10106,157
10107,113
10108,77
10109,76
